date,Gb(i),Gd(i),H_sun,T2m,WS10m,Wdir,Humidity,Pressure
27/6/2018,5633.3099999999995,1441.41,39.037333333333336,23.28666666666667,3.810666666666667,168.0,48.46666666666667,1013.6800000000001
28/6/2018,4389.57,1798.99,39.006,23.261333333333333,2.7733333333333334,254.66666666666666,53.13333333333333,1010.24
29/6/2018,3797.8,1878.0,38.968666666666664,23.721333333333334,2.9193333333333333,233.33333333333334,54.93333333333333,1011.5666666666667
30/6/2018,5757.37,1381.64,38.92733333333333,24.912,2.5193333333333334,93.33333333333333,42.53333333333333,1010.7933333333333
1/7/2018,5856.32,1385.97,38.882,24.918666666666663,2.8633333333333337,144.66666666666666,42.333333333333336,1010.6
2/7/2018,5371.6,1546.34,38.832,24.779999999999998,3.0486666666666666,262.6666666666667,56.06666666666667,1012.5933333333334
3/7/2018,4644.96,1838.05,38.775999999999996,25.224666666666668,2.9146666666666667,159.33333333333334,59.46666666666667,1014.8
4/7/2018,5234.72,1594.19,38.716,25.442,3.44,252.66666666666666,56.6,1014.6266666666667
5/7/2018,5206.74,1527.59,38.65266666666666,26.030666666666665,5.434,292.0,42.46666666666667,1013.94
6/7/2018,5632.45,1424.52,38.58133333333333,25.908666666666665,9.734,258.0,41.93333333333333,1015.5933333333334
7/7/2018,5494.38,1416.43,38.508,26.194666666666667,5.154,230.66666666666666,40.4,1016.1266666666667
8/7/2018,5734.55,1399.11,38.42933333333334,26.14333333333333,2.8459999999999996,218.0,39.4,1015.64
9/7/2018,5565.59,1423.11,38.34466666666666,26.122666666666664,3.2520000000000002,312.6666666666667,39.6,1014.5
10/7/2018,5885.69,1351.3,38.257333333333335,26.612666666666666,6.082666666666666,284.6666666666667,34.46666666666667,1012.4066666666666
11/7/2018,6020.67,1363.55,38.164,24.993999999999996,7.687333333333333,253.33333333333334,31.0,1011.7533333333333
12/7/2018,4638.6900000000005,1817.47,38.06733333333333,24.632,3.44,178.66666666666666,40.46666666666667,1014.76
13/7/2018,5754.35,1410.89,37.964666666666666,25.413333333333334,2.6146666666666665,230.0,36.86666666666667,1016.5266666666666
14/7/2018,5442.57,1467.6,37.85733333333334,25.65533333333333,2.81,170.66666666666666,48.8,1015.2933333333333
15/7/2018,5520.31,1427.53,37.748000000000005,25.574666666666666,3.268666666666667,309.3333333333333,51.2,1013.7666666666667
16/7/2018,111.84,1808.6000000000001,37.63066666666667,22.257333333333335,4.069333333333334,240.0,66.73333333333333,1009.5866666666666
17/7/2018,5908.02,1336.67,37.51,26.303333333333335,8.119333333333334,221.33333333333334,36.2,1013.2666666666667
18/7/2018,5820.2699999999995,1377.3,37.38666666666666,25.377333333333333,3.743333333333333,214.0,39.0,1014.3
19/7/2018,5646.42,1386.67,37.25666666666667,25.084666666666667,3.4106666666666663,276.0,46.666666666666664,1013.5133333333334
20/7/2018,5008.9,1689.99,37.12266666666667,24.926666666666666,3.4793333333333334,293.3333333333333,58.8,1012.7066666666667
21/7/2018,5373.11,1539.25,36.98533333333333,25.02,6.474666666666667,252.66666666666666,51.46666666666667,1011.06
22/7/2018,3121.07,2759.2200000000003,36.84133333333333,24.83533333333333,7.585333333333334,190.0,42.86666666666667,1011.0333333333333
23/7/2018,5907.5199999999995,1321.8,36.69666666666667,26.355999999999998,5.149333333333333,277.3333333333333,38.53333333333333,1012.14
24/7/2018,5409.74,1441.85,36.544666666666664,24.983333333333334,3.567333333333333,122.0,51.4,1013.3533333333332
25/7/2018,5579.84,1410.68,36.391333333333336,26.790000000000003,4.138,168.0,47.6,1011.8466666666667
26/7/2018,5395.93,1431.79,36.230000000000004,25.862666666666666,2.905333333333333,118.66666666666667,48.2,1011.5733333333334
27/7/2018,5419.01,1535.29,36.06733333333333,25.772666666666666,3.816666666666667,269.3333333333333,51.666666666666664,1011.2733333333333
28/7/2018,3449.9100000000003,2332.46,35.89933333333333,25.857333333333333,3.6693333333333333,214.66666666666666,60.86666666666667,1011.4466666666667
29/7/2018,5829.81,1295.61,38.279999999999994,26.77857142857143,3.3514285714285714,217.85714285714286,50.07142857142857,1013.407142857143
30/7/2018,5493.17,1436.18,38.107142857142854,26.37642857142857,2.447857142857143,236.42857142857142,56.285714285714285,1014.15
31/7/2018,5569.1900000000005,1330.19,37.925714285714285,28.24285714285714,3.1935714285714285,235.0,43.0,1014.5428571428572
1/8/2018,5564.45,1335.61,37.74142857142857,28.888571428571428,2.3042857142857143,121.42857142857143,45.285714285714285,1014.85
2/8/2018,5577.7300000000005,1433.16,37.55214285714286,30.631428571428568,4.557142857142857,195.0,40.285714285714285,1014.7214285714286
3/8/2018,4913.83,1628.87,37.36071428571428,28.733571428571427,3.2657142857142856,189.28571428571428,47.785714285714285,1015.7714285714285
4/8/2018,4838.58,1522.82,37.16428571428571,29.175,2.1592857142857143,195.71428571428572,43.714285714285715,1014.6999999999999
5/8/2018,4411.36,1830.75,36.964285714285715,29.44214285714286,1.8228571428571427,174.28571428571428,38.857142857142854,1014.8071428571428
6/8/2018,5180.5599999999995,1484.46,36.76,28.716428571428573,2.237857142857143,119.28571428571429,45.285714285714285,1014.7142857142857
7/8/2018,5102.610000000001,1567.2,36.55214285714286,27.77785714285714,3.6149999999999998,105.71428571428571,55.357142857142854,1013.9499999999999
8/8/2018,3287.29,2189.86,36.34142857142857,26.582857142857144,3.5764285714285715,297.85714285714283,60.857142857142854,1014.7142857142857
9/8/2018,1606.54,1837.91,36.125,24.944285714285712,4.887142857142857,300.0,77.71428571428571,1016.2571428571429
10/8/2018,5833.72,1315.83,35.90571428571429,25.914285714285715,6.043571428571428,244.28571428571428,43.357142857142854,1021.2285714285715
11/8/2018,6137.95,1245.0,35.683571428571426,26.173571428571428,6.3100000000000005,114.28571428571429,35.07142857142857,1019.1357142857142
12/8/2018,5872.5,1271.1100000000001,35.45642857142857,25.79,3.6957142857142857,302.85714285714283,51.42857142857143,1016.3000000000001
13/8/2018,2962.68,1931.07,35.22642857142857,23.819285714285712,3.8857142857142857,202.85714285714286,39.07142857142857,1013.0500000000001
14/8/2018,5939.37,1280.15,34.99357142857143,25.690714285714286,9.245714285714286,145.71428571428572,44.5,1012.8857142857142
15/8/2018,5827.45,1295.41,34.75857142857143,25.585,2.5964285714285715,288.57142857142856,42.57142857142857,1015.7642857142857
16/8/2018,5724.73,1290.6399999999999,34.51857142857143,25.639999999999997,2.4335714285714287,152.85714285714286,38.642857142857146,1015.15
